,images,captions
4379,3182258223_5b9c8a8c55,"['<START> تقف فتاه تقرا دفتر ملاحظات <END>', '<START> فتاتان تقفان ضد جدار احمر <END>', '<START> تقف فتاتان صغيرتان بالحجاب بالقرب من باب بينما يقرا احدهما كتابا <END>']"
3862,3056569684_c264c88d00,"['<START> يتم سحب سياره اسعاف محطمه <END>', '<START> يتم سحب سياره اسعاف متجوله بواسطه شاحنه سحب كبيره <END>', '<START> يتم سحب سياره اسعاف مدمره بواسطه شاحنه كبيره <END>']"
6266,3560081723_62da0035bd,"['<START> رجل يقود سياره رباعيه دفع علي طرق وعره <END>', '<START> رجل يركب يجعل قفزه علي طريق ترابي <END>', '<START> شخص يرتدي خوذه علي دراجه رباعيه عجلات في هواء <END>']"
1172,2192333873_2a0cbe849d,"['<START> صبي يراقب شخصا اخر يسقط في ثلج <END>', '<START> صبي صغير يسقط في ثلج مع ولد اخر في خلفيه <END>', '<START> طفلين يلعبان في ثلج بمزلجه <END>']"
5419,3397220683_4aca010f86,"['<START> رجل و كلب خارج في عاصفه ثلجيه <END>', '<START> شخص يقف علي زحافات في ثلج مع كلب <END>', '<START> شخص مع زحافات و كلب يقفون في ثلج <END>']"
5141,3339105374_cc41e0b7d7,"['<START> امراه في معطف احمر مع رجل في معطف ابيض و اسود و كلب اسود في ثلج <END>', '<START> شخصان و كلب في ثلج <END>', '<START> يسير شخصان فوق تل ثلجي مع كلب <END>']"
7235,424506167_01f365726b,"['<START> كلب صغير يقف بجوار كلب اكبر في حقل <END>', '<START> كلابان اثنان يقفان في ميدان <END>', '<START> كلبان يقفان جنبا الي جنب في فناء <END>']"
8047,95728660_d47de66544,"['<START> رجل يركب دراجه علي جانب تل <END>', '<START> رجل علي دراجه في جبال <END>', '<START> رجل يركب دراجه اسفل طريق ضيق <END>']"
2602,2671602981_4edde92658,"['<START> طفله صغيره في ثوب سباحه تقفز في ماء <END>', '<START> فتاه في زي سباحه تقفز الي ماء <END>', '<START> فتاه صغيره تقفز خارج ماء <END>']"
7523,498794783_cc2ac62b47,"['<START> فتاه في ثوب تهب فقاعات مع فتاه اخري وراءها <END>', '<START> هناك نوعان من فتيات صغيرات في فساتين ملونه تهب فقاعات <END>', '<START> اثنين من فتيات في ثياب ملونه تهب فقاعات في حديقه <END>']"
4279,3159995270_17334ccb5b,"['<START> امراه تتزلج علي ثلج <END>', '<START> امراه ترتدي معطفا ابيض لون تنزل علي تل ثلجي <END>', '<START> فتاه تتزلج علي جبل ثلجي <END>']"
3661,3004359992_f6b3617706,"['<START> مجموعه من شابات واحده في هواء <END>', '<START> مصفقين يرمون فتاه في هواء <END>', '<START> خمس فتيات يشجعن <END>']"
5107,3333017828_b930b9d41b,"['<START> كلب يركض علي طول شاطئ بالقرب من امواج <END>', '<START> كلب ابيض و بني يركض علي طول شاطئ <END>', '<START> كلب ابيض و اسمر يركض علي شاطئ <END>']"
3783,3038045802_93f2cd5fbc,"['<START> متسابق يقوم بقفزه عاليه من منحدر ثلجي بالقرب من سلسله جبال <END>', '<START> احد متزلجين في هواء بعد ان اقلع من قفزه كبيره في بطوله <END>', '<START> يقفز احد متزلجين علي منحدر كبير في جبال <END>']"
4453,319851847_7212423309,"['<START> رجل يستخدم منشارا علي تمثال <END>', '<START> رجل ينحت خشب بمنشار لصنع مثال رجل <END>', '<START> رجل ينحت بابا نويل من خشب <END>']"
6346,3576259024_9c05b163aa,"['<START> رجل في زرقاء يقفز علي دراجه ترابيه <END>', '<START> رجل علي دراجه ترابيه محمول جوا <END>', '<START> رجل يقف علي دراجه ناريه يقفز فوق تل ترابي امام مشاهدين <END>']"
7427,47870024_73a4481f7d,"['<START> صبي علي دراجه بخاريه <END>', '<START> صبي يرتدي خوذه يركب دراجه بخاريه في احد احياء ضواحي <END>', '<START> صبي صغير يرتدي خوذه برتقاليه علي دراجه بخاريه <END>']"
5082,3329169877_175cb16845,"['<START> متزلج وحيد يرتدي ستره بيضاء يقفز في هواء علي جبال ثلجيه <END>', '<START> يطير احد متزلجين عبر هواء امام اشجار خاليه من اوراق <END>', '<START> احد متزلجين يحصل علي بعض هواء <END>']"
3686,3009644534_992e9ea2a7,"['<START> كلب يحمل كره بيضاء <END>', '<START> كلب يتجول مع كره في فمه <END>', '<START> كلب يحمل كره في خارج <END>']"
4486,3206999917_e682672cbc,"['<START> كلب اسود و بني و ابيض و لسانه في خارج علي ثلج <END>', '<START> كلب يسير علي طول سطح ثلجي <END>', '<START> كلب يمشي علي ثلج يلعق انفه <END>']"
4475,3204354161_caf89ec784,"['<START> يقوم سائق دراجه ترابيه بقفزه في جو <END>', '<START> يقفز سائق في جو مع دراجته بخاريه <END>', '<START> رجل يقوم بمجازفات بدراجته ناريه <END>']"
7946,823675317_b5fbdb17b3,"['<START> صبي يرتدي ازرق يحمل دلو <END>', '<START> طفل يمشي علي شاطئ مع دلو <END>', '<START> ولد صغير في سروال ازرق علي شاطئ <END>']"
6864,3685328542_ab999b83bb,"['<START> رجل مظلم في قناع ابيض واخضر ريش مع مجوهرات والسروال اخضر <END>', '<START> رجل في زي يشارك في عرض <END>', '<START> رجل يرتدي قناعا وخرزات خضراء وسروال اخضر <END>']"
5176,3344798356_5cc41f7939,"['<START> طفل يرتدي قبعه زرقاء و سروال قصير مع زحافات حمراء علي اقدامهم <END>', '<START> طفل صغير يرتدي قبعه زرقاء و معطفا علي ثلج <END>', '<START> متسابق شاب ينظر الي كاميرا <END>']"
2131,251586160_a31b187a37,"['<START> كلب اسود ذو حزام احمر يقفز <END>', '<START> رجل يشاهد بحماس كلبه اسود يقفز في ماء <END>', '<START> كلب اسود يركض بينما ينظر رجل <END>']"
3813,3044500219_778f9f2b71,"['<START> اربع فتيات يرتدين ملابس سهره يتهيئن لالتقاط صوره <END>', '<START> اربع نساء يرتدين عباءات رسميه ياخذن وضعيه تصوير معا و يبتسمن <END>', '<START> تقف اربع نساء معا متموضعين لاخذ صوره <END>']"
6928,3700004668_99c3e3f55b,"['<START> صبي فمه مفتوح يرتدي ستره نجاه صفراء و نظارات واقيه في ماء مع رجل يقف بجانبه <END>', '<START> اب و طفل يتمتعان بالماء <END>', '<START> رجل و طفله يرتديان ستره صفراء ينظران الي ماء <END>']"
7290,439049388_3dcee2d30b,"['<START> رجل في ستره برتقاليه يقف بجانب زورق اصفر <END>', '<START> يحصل رجال علي قوارب خاصه بهم علي شاطئ في ليل <END>', '<START> رجلان يقفان علي شاطئ بجانب قوارب عند غسق <END>']"
2149,2521770311_3086ca90de,"['<START> صبي يحمل صوره فوق راسه <END>', '<START> صبي صغير يحمل صندوق من ورق مقوي مزخرف علي راسه <END>', '<START> صبي صغير مع صندوق صغير من ورق مقوي فوق راسه <END>']"
4004,3095225232_2e6e6dc92e,"['<START> يقف ناس علي سلم متحرك صعودا <END>', '<START> يصعد ناس مصعد كهربائي <END>', '<START> عده اشخاص يركبون سلم كهربائي <END>']"
457,1434607942_da5432c28c,"['<START> طفل يركب علي اكتاف رجل <END>', '<START> يجلس طفل يرتدي ستره حمراء علي اكتاف رجل <END>', '<START> رجل يحمل فتاه علي كتفيه <END>']"
540,148512773_bae6901fd6,"['<START> يتمتع زوجان بلحظه هادئه بالقرب من نهر <END>', '<START> شخصان يجلسان علي صخره تطل علي نهر <END>', '<START> شخصان يجلسان فوق منحدر يطل علي نهر <END>']"
3172,2866529477_7e0c053ebc,"['<START> صبي يرتدي قبعه سباحه ونظارات واقيه يمشي في ماء مع طفل اخر يسبح خلفه <END>', '<START> بعض سباحين في ماء <END>', '<START> طفلان يرتديان قبعات سباحه زرقاء يسبحان في بحيره <END>']"
4129,3124549928_10904a5a83,"['<START> طفل يستعد لرمي كره ثلج <END>', '<START> صبي صغير يبتسم بينما يحمل كتله من ثلج <END>', '<START> صبي صغير يرتدي ستره بنيه لون يلعب بالثلج <END>']"
7247,427082246_5bf1c3676f,"['<START> رجل يرتدي قميص اصفر و يدرب كلب اسود <END>', '<START> رجل يرتدي قميص اصفر و سراويل سوداء يلعب مع كلب اسود <END>', '<START> رجل يرتدي ستره صفراء يلعب مع كلب اسود في حقل عشبي <END>']"
4342,3174228611_6cf9d2266b,"['<START> لاعب كره سله يرتدي قميصا احمر و ابيض اثناء جريه في ملعب <END>', '<START> رجل ذو بشره داكنه في ملابس رياضيه بيضاء يلعب كره سله <END>', '<START> رجل يسير بكره خلال لعبه كره سله <END>']"
3855,3053813297_7ce5f87710,"['<START> يجلس ناس في كراسي في حديقه مع كلب <END>', '<START> يجلس ناس في كراسي بينما كلب في عشب <END>', '<START> بعض ناس في حديقه مع كلب و كراسي قابله للطي <END>']"
2229,2546959333_23b957988f,"['<START> كلب يرتد علي عشب <END>', '<START> يلعب كلب بني كبير في عشب مع بقره بنيه <END>', '<START> اثنين من كلاب خارجا علي عشب اخضر <END>']"
4306,3167379087_927ff05a35,"['<START> متسابق علي دراجات في زي احمر تتم ملاحقته من قبل متسابق اخر يرتدي ازرق <END>', '<START> يتسابق ثلاثه راكبي دراجات علي طريق ترابي عبر غابه <END>', '<START> ثلاثه رجال يركبون دراجات عبر غابه <END>']"
5867,3482314155_bd1e668b4e,"['<START> رجل يهرب من ثور اسود <END>', '<START> رجل يهرب من ثور <END>', '<START> يهرب رجل من ثور <END>']"
1515,2314722788_6262c3aa40,"['<START> كلب اسود وبني يحدقان في بعضهما بعض <END>', '<START> اثنين من كلاب تحدق في بعضها بعض <END>', '<START> كلبان يواجهان بعضهما بعض في وسط حقل <END>']"
6857,3683185795_704f445bf4,"['<START> فتاه و صبي يشاهدان كلبا يحاول تسلق شجره <END>', '<START> يراقب طفلان كلب اصفر صغير علي شجره <END>', '<START> طفلان مع كلب مقيد يقفان امام شجره <END>']"
1042,2115849046_2aa9fa8d13,"['<START> كلب بني يركض علي شاطئ مع قارب في خلفيه <END>', '<START> كلب بني يركض بالقرب من ماء <END>', '<START> كلب يركض علي عشب بجانب قارب علي نهر <END>']"
3126,2855727603_e917ded363,"['<START> كلب بني يسير في نهر مع اشجار في خلفيه <END>', '<START> كلب كبير بني يلعب في ماء <END>', '<START> كلب بني كبير انيق يقف في ماء <END>']"
5004,3312779887_7682db7827,"['<START> شخص يقف علي يديه مع لوح تزلج علي منحدر اصفر <END>', '<START> يقوم احد متزلجين باداء حيله امام حشد من مشاهدين <END>', '<START> يقوم متزلج بخدعه هرم اصفر <END>']"
6386,3584406900_039f30b34c,"['<START> مجموعه من اطفال يلعبون علي اراجيح <END>', '<START> يقف رجل بلا قميص بجانب طفلين يوازنان علي ارجوحه <END>', '<START> يمر رجل عاري صدر باربعه اطفال يلعبون علي ارجوحه <END>']"
1740,240696675_7d05193aa0,"['<START> كلب بني يركض في سهل عشبي <END>', '<START> كلب يركض في ميدان <END>', '<START> كلب يركض علي مسار ترابي ضيق <END>']"
858,2049051050_20359a434a,"['<START> يتم تغطيه فتاه في ستره سوداء وقبعه في بطانيه ورديه <END>', '<START> امراه في قبعه سوداء والزي تجلس في رمال <END>', '<START> امراه ترتدي قبعه سوداء تجلس علي رمال <END>']"
4602,3225998968_ef786d86e0,"['<START> رجل علي زلاجات يقف علي تله مغطاه بالثلوج مع جبال في خلفيه <END>', '<START> رجل يرتدي سروالا حمراء و هو يتزلج علي منحدرات <END>', '<START> شخص يرتدي سروالا احمر لون ينزل في احد جبال <END>']"
2917,278002800_3817135105,"['<START> رجل يرتدي ستره سوداء ياكل <END>', '<START> رجل ياكل معجنات <END>', '<START> رجل يرتدي ستره سوداء ياكل معجنات بينما يقف بجانب رجلين اخرين <END>']"
263,1299459562_ed0e064aee,"['<START> ثلاثه اولاد يلعبون في رذاذ ماء <END>', '<START> ثلاثه اولاد يلعبون مع بعض ماء <END>', '<START> ثلاثه اولاد بلا قميص يلعبون في ماء <END>']"
4316,3170110692_d1e0e66cee,"['<START> زوجان يرتديان قناعا مضحكا و يحملان سيجارا مزيفا <END>', '<START> رجل و مراه يرتديان قناعا و سيجار مزيف <END>', '<START> رجل و امراه يرتديان اقنعه مضحكه و يتظاهرون بتدخين سيجار كبير مزيف <END>']"
4189,3139238055_2817a0c7d8,"['<START> اربعه اشخاص يبتسمون و يحملون لوحات ذهبيه خلف رؤوسهم <END>', '<START> اصدقاء يستعدون لاتقاط صوره و هم يحملون اطباقا <END>', '<START> رجلان و امراتان يحملون الواحا ذهبيه خلف رؤوسهم <END>']"
2925,2781296531_f6f0f6c0f5,"['<START> صبي صغير يرش وجهه بواسطه لعبه ماء ازرق <END>', '<START> صبي يجركض خلال رشاشات <END>', '<START> ولد صغير يمر عبر رشاشات <END>']"
5285,3364160101_c5e6c52b25,"['<START> يتم لعب لعبه هوكي <END>', '<START> رجل يرتدي زيا رياضيا يركض في حقل حينما وقع رجل اخر <END>', '<START> رقم خمسه عشر يركض مع كره لاكروس <END>']"
6726,3653764864_225958c9c1,"['<START> يسير ناس علي منحدر متعرج امام مبني <END>', '<START> ناس يسيرون طريق مشاه ازرق <END>', '<START> سته اشخاص يسيرون علي منحدر ازرق <END>']"
794,1932161768_996eadac87,"['<START> كلب ابيض صغير يتسلق جذع <END>', '<START> كلب ابيض يقفز فوق جذع بالخارج <END>', '<START> قاطره بيضاء تقفز فوق سجل <END>']"
2540,2649850541_59a6c7f01c,"['<START> فتاه تستلقي علي رصيف <END>', '<START> فتاه تستلقي علي دربها <END>', '<START> فتاه صغيره تستلقي علي رصيف <END>']"
5542,3421706363_a3e22a4908,"['<START> صبي في سروال داكن و قميص اخضر يركب دراجته فوق منحدر <END>', '<START> رجل يركب دراجته قباله منحدر في حديقه تزلج <END>', '<START> رجل يرتدي قميصا اصفر يقفز دراجته علي منحدر <END>']"
2592,2665904080_8a3b9639d5,"['<START> ارضاع كلب <END>', '<START> يتم ارضاع جرو من قبل والدته <END>', '<START> جرو صغير يرضع من امه <END>']"
2641,2685139184_4ff45e0f76,"['<START> امراه ذات شعر رمادي بلا حذاء تجلس علي بطانيه تحت مظله بنفسجيه لون علي جانب احد شوارع <END>', '<START> رجل يستند علي جدار مع مظله <END>', '<START> يجلس رجل خارجا علي شارع تحت مظله ارجوانيه <END>']"
3206,2873445888_8764699246,"['<START> صبي يقف في ماء يقوم بركله <END>', '<START> صبي يقف علي قدم واحده في ماء ورجله واحده فوق سطح <END>', '<START> صبي صغير يركل قدميه في ماء <END>']"
4125,3123463486_f5b36a3624,"['<START> كلب يجري <END>', '<START> كلب صغير يركض علي رمال <END>', '<START> كلب يجري عبر حصي <END>']"
5331,3373946160_1c82d54442,"['<START> يتدحرج كلب اسود و بني حول اعشاب <END>', '<START> كلب بني و اسود يفرك وجهه في عشب <END>', '<START> كلب كبير يفرك وجهه في عشب <END>']"
1691,2385871317_44cde2f354,"['<START> فتاه تمشي بجانب جدار ازرق <END>', '<START> فتاه بجانب جدار قماش ازرق ترتدي حقيبه ظهر و محفظه <END>', '<START> تسير فتاه ترتدي حقيبه ظهر زرقاء بجانب سور بلاستيك ازرق <END>']"
2252,2554531876_5d7f193992,"['<START> سباقات دراجات ناريه <END>', '<START> شخص ما علي دراجه ناريه يميل الي منعطف <END>', '<START> هناك سائق دراجه ناريه محترف يدير زاويه <END>']"
4722,3251906388_c09d44340e,"['<START> اثنين من كلاب تلعب لعبه شد حبل مع شيء مظلم في ثلج <END>', '<START> اثنين من كلاب يتقاتلان <END>', '<START> اثنين من كلاب بيضاء يتقاتلون علي شيء في افواههم في ثلج <END>']"
1862,2428751994_88a6808246,"['<START> كلب ابيض واسود يمتد فوق عشب اخضر <END>', '<START> كلب يركض علي عشب <END>', '<START> كلب مبتسم يركض في عشب <END>']"
318,1347519824_e402241e4f,"['<START> بعض شباب يلتقطون صور لبعضهم بعض اثناء وجودهم في نيويورك <END>', '<START> ثلاث نساء مع قبعات تمثال حريه <END>', '<START> تقطت امراتان ترتديان قبعات حريه صورتهما في مترو <END>']"
5708,3451523035_b61d79f6a8,"['<START> بعض خيول تتسابق بعضها بعض علي مضمار <END>', '<START> كلب سباق رقم اثنين هو قبل بعض كلاب اخري <END>', '<START> تركض كلاب في لباس مرقم <END>']"
2968,279901198_e7a88c855a,"['<START> كلب بني يطارد في منطقه ريفيه <END>', '<START> بعض كلاب بنيه تلعب في بعض اوساخ بالقرب من غابه <END>', '<START> مجموعه من كلاب تعمل في خارج علي درب ترابي <END>']"
4174,3134644844_493eec6cdc,"['<START> رجل يعزف علي غيتار لفتاه صغيره في مستشفي <END>', '<START> رجل يعزف علي غيتار لطفل في سرير مستشفي <END>', '<START> رجل يعزف علي جيتار لطفل مريض في مستشفي <END>']"
4516,3211556865_d1d9becf69,"['<START> رجل يقف علي قمه جبل يمد ذراعيه <END>', '<START> شخص علي قمه جبل و ذراعيه فوق راسه <END>', '<START> شخص يقف علي قمه جبل و يرفع ذراعيه <END>']"
6308,3565749152_7924d15b04,"['<START> كلب يصطاد صحن طائر في فناء امامي <END>', '<START> كلب يلعب بصحن طائر في فناء امامي بجوار سياره <END>', '<START> كلب ابيض يمسك بصحن طائر احمر في عشب <END>']"
3608,2990977776_1ec51c9281,"['<START> صبي يفعل حيله مع لوح تزلج خاص به <END>', '<START> صبي يتزلج <END>', '<START> فتي يفعل حيل علي لوح تزلج <END>']"
7853,700884207_d3ec546494,"['<START> يرتدي طفل ملابسه باللون وردي و يحدق بينما يمسكها شخص بالغ <END>', '<START> طفل صغير يرتدي نظارات شمسيه جالس علي حضن رجل كبير <END>', '<START> امراه تمسك بطفل رضيع يرتدي نظارات شمسيه <END>']"
2955,2795287622_da187a3e86,"['<START> فتاه تقفز من لوح غوص الي بركه <END>', '<START> فتاه تقفز في بركه سباحه <END>', '<START> فتاه تقفز من لوحه غوص في بركه <END>']"
6972,3710468717_c051d96a5f,"['<START> طفلان و كلب اسود يلعبان في ثلج <END>', '<START> طفلان و كلبهما يلعبان في ثلج <END>', '<START> طفلان و كلب يلعبان في ثلج <END>']"
4709,3249865395_dceaa59f54,"['<START> عدد قليل من ناس يتجولون في محطه قطار <END>', '<START> خمسه اشخاص علي رصيف <END>', '<START> خمسه اشخاص يقفون علي رصيف <END>']"
3101,2847615962_c330bded6e,"['<START> كلب يستلقي علي مرتبه في شرفه <END>', '<START> كلب يتدحرج علي وساده موضوعه علي شرفه <END>', '<START> كلب ابيض يتدحرج علي ظهره علي شرفه <END>']"
4977,3304030264_da3dd18c7b,"['<START> صبي يرتدي سروالا اسود و قميصا اخضر يقفز عاليا مع لوح تزلج خاص به <END>', '<START> شخص في قميص اخضر علي لوح تزلج يقفز من مجموعه صغيره من سلالم <END>', '<START> هو في هواء علي لوح تزلج خاص به <END>']"
1533,2322327298_7948338390,"['<START> كلب ذهبي يمر عبر ثلج <END>', '<START> كلب يمشي عبر ثلج <END>', '<START> كلب بني يعمل في ثلج <END>']"
6917,3697359692_8a5cdbe4fe,"['<START> صبي يجلس في مقعد خلفي للسياره <END>', '<START> صبي يصنع وجه بينما يجلس في مقعد سيارته <END>', '<START> صبي جالس في سياره يصور وجها متفاجئا <END>']"
1322,2251447809_2de73afcdf,"['<START> رجل يرتدي ملابس سوداء يمشي علي رصيف جليدي <END>', '<START> رجل يمشي علي رصيف جليدي <END>', '<START> رجل يمشي نحو سيارته علي رصيف جليدي في مدينه <END>']"
3620,2992999413_018f48aabc,"['<START> مجموعه من اشخاص ينتظرون دخول الي مبني ابيض <END>', '<START> مجموعه من ناس من طائفه مسيحيه يقفون خارج مبني بالقرب من شجره <END>', '<START> تجمع طائفه دينيه معا <END>']"
4417,3189251454_03b76c2e92,"['<START> كلب ابيض ينبح محاطا بالثلج ابيض <END>', '<START> كلب يرتدي طوقا اسود يقف مفتوح فم علي ثلج <END>', '<START> كلب ينبح <END>']"
4902,3286198467_8880be127e,"['<START> كلب في حقل يحمل شيئا في فمه <END>', '<START> كلب يحمل شيئا في فمه <END>', '<START> يحمل كلب كبير اسود و بني شيئا في فمه اثناء مشي علي عشب <END>']"
3882,3065468339_4955e90fd3,"['<START> كلب اسود ينظر الي بركه من ماء <END>', '<START> كلب اسود مع طوق احمر يشم ارض <END>', '<START> كلب يبحث في ماء <END>']"
101,1112212364_0c48235fc2,"['<START> طفل يرص صخور علي شاطئ <END>', '<START> صبي صغير يلعب بالحجاره <END>', '<START> طفل يجلس علي كومه من صخور <END>']"
7406,472535997_0dbf42b9f3,"['<START> اثنين من اطفال صغار في افريقيا يرتدون لون وردي يلعبون في مطبخ <END>', '<START> فتاتان يرتديان ثوب وردي و يصفقان <END>', '<START> اثنين من فتيات صغيرات يرتدين وردي يرقصون <END>']"
4995,330849796_c575c3108a,"['<START> فتاه نائمه في مقعد حافله <END>', '<START> امراه نائمه علي كرسي في حافله <END>', '<START> سيده شابه نائمه في قطار <END>']"
4035,3104182973_5bb1c31275,"['<START> مجموعه من ناس بالقرب من شجره عيد ميلاد <END>', '<START> عدد كبير من ناس يقومون بمراقبه متزلجين علي جليد في خارج <END>', '<START> ناس يتزلجون في حلبه في هواء طلق حول شجره عيد ميلاد ضخمه <END>']"
3985,3091382602_60b9b53ed1,"['<START> رجل في قميص ابيض و رجل في قميص اسود في ممر <END>', '<START> رجل يرتدي لون اسود و واحد يرتدي لون ابيض يتهيئ لاخذ صوره في داخل <END>', '<START> ينظر شابان مبتسمان الي كاميرا <END>']"
2268,2559638792_a803ff63d1,"['<START> سباح يسبح علي ظهر في حوض سباحه <END>', '<START> سباح في بدله زرقاء داكنه يسبح علي ظهره <END>', '<START> فتاه صغيره في نظارات سباحه تقوم بقفزه ظهر في بركه <END>']"
349,1363924449_487f0733df,"['<START> صبي يضع يديه علي راسه <END>', '<START> طفل يضع يديه علي راسه <END>', '<START> صبي صغير يقف ويداه فوق راسه <END>']"
1566,2335634931_7e9e8c2959,"['<START> كلب يهاجم رجل <END>', '<START> كلب يقفز علي رجل كبير يرتدي بنطالا من جينز و ستره زرقاء وصفراء <END>', '<START> كلب يقفز علي رجل في ستره صفراء <END>']"
1022,2107837987_ffecfc367a,"['<START> صبي يقف بالقرب من ماء بحجر في يده <END>', '<START> صبي صغير علي استعداد لرمي حجر في ماء <END>', '<START> صبي صغير علي جانب نهر يرمي حجاره <END>']"
