,images,captions
1364,2265367960_7928c5642f,"['<START> صبي يجلس مبتسما للصوره <END>', '<START> طفل يحمل بعض احذيه <END>', '<START> صبي صغير يبتسم و يحمل صنادل <END>']"
6225,3550276904_19de3561c5,"['<START> شخص بالغ وطفل يجلسان وكلاهما يقضمان اظافرهما <END>', '<START> امراه مسنه تجلس بجوار فتاه صغيره ترتدي فستانا مخططا <END>', '<START> امراه مسنه تجلس بجوار فتاه صغيره باصابعها في فمها <END>']"
4470,3203742047_6a55065411,"['<START> فتاه تنزل من زلاجاتها علي ثلج <END>', '<START> شخص يحمل لوح تزلج علي جليد عبر ثلج عميق <END>', '<START> فتاه في قبعه ورديه تسحب زلاجه عبر ثلج <END>']"
891,2061944672_0383e65c8a,"['<START> يقف كبار و اطفال و يلعبون امام درجات بالقرب من منطقه مشجره <END>', '<START> عائله تقف في فناء مرصوف في حديقه في خريف <END>', '<START> فتاه ذات دراجه حمراء ترتدي بنطال احمر <END>']"
2793,2734219983_fe86a60bf9,"['<START> امراه وطفل مع مظله يسيران في شارع تحت مطر منهمر <END>', '<START> امراه تمشي تحت مطر مع طفل <END>', '<START> سيده والطفل يسيران الي مدرسه في مطر <END>']"
6787,3668518431_43abb169eb,"['<START> مجموعه من ناس علي متن سفينه مائيه في وسط محيط <END>', '<START> اربع قوارب كهربائيه تتسابق عبر بحر <END>', '<START> مجموعه من قوارب تسابق بعضها بعض <END>']"
5455,3404012438_9baf8dcbaf,"['<START> كلب يطارد بطه في بركه <END>', '<START> عندما يسبح كلب بالقرب منه يطير بطه بعيدا <END>', '<START> كلب ابيض في نهر يطارد بط <END>']"
4403,3186527735_6e9fe2cf88,"['<START> رجل و امراه في معطف فضي علي رصيف مدينه مع ظهورهم للكاميرا <END>', '<START> امراه تمشي مع شخص اخر في ليل <END>', '<START> ناس في خارج ليلا <END>']"
7699,539751252_2bd88c456b,"['<START> طفل صغير يقوم برش ماء داخل بركه تجديف زرقاء <END>', '<START> طفل في بركه اطفال ينثر ماء و يمد لسانه <END>', '<START> طفل يرش ماء في بركه صغيره زرقاء <END>']"
5413,3396153660_f729d9f9b9,"['<START> اثنين من سمر واحده مع وشم يتعانقا مع ابتسامه <END>', '<START> اثنين من نساء في منتصف عمر مع وشم تعانق بعضهم بعض للكاميرا <END>', '<START> تعانق امراتان واحده مع وشم بعضهما بعض و تبتسمان <END>']"
6935,3701509233_a2275a4e57,"['<START> قارب يطفو في ماء <END>', '<START> توجد سفينه بها شراع احمر وابيض في جسم مائي <END>', '<START> يبحر قارب في ماء قاسي <END>']"
3249,2884252132_5d8e776893,"['<START> فتاه تتارجح <END>', '<START> فتاه صغيره تبتسم وهي تتارجح <END>', '<START> فتاه شقراء في فستان وردي و ابيض تتارجح <END>']"
6860,368393384_86defdcde8,"['<START> شخص في زورق يجدف في مياه بريه <END>', '<START> امراه تجدف في نهر في قارب اصفر <END>', '<START> رجل في قارب اصفر يتجول في مياه قاسيه <END>']"
1208,2201951969_0d7520d648,"['<START> راكب امواج <END>', '<START> امراه في بدله تساعد سمكه بحاجه الي اهتمام <END>', '<START> امراه شابه ترتدي بدله في محيط <END>']"
3868,3058439373_9276a4702a,"['<START> يقف حشد من ناس امام مباني ذات طراز ايطالي <END>', '<START> مجموعه من ناس ينظرون الي مباني <END>', '<START> مجموعه من ناس يقفون في ساحه بلده ينظرون <END>']"
7260,429851331_b248ca01cd,"['<START> كلب بني يحمل شيئا ارجوانيا و اسودا في فمه <END>', '<START> كلب يمسك صحن طائر في فمه <END>', '<START> كلب يركض مع لعبه <END>']"
4065,3109124656_626b596d5e,"['<START> زوجان يجلسان علي اريكه زهريه لون بينما تبتسم امراه مسنه في خلفيه <END>', '<START> زوجان يجلسان معا علي اريكه مزينه بالزهور مع امراه مسنه <END>', '<START> رجل و امراه يتعانقان علي اريكه بينما يوجد امراه اخري مبتسمه <END>']"
6916,3697153626_90fb177731,"['<START> صبي يمسك حبلا <END>', '<START> صبي مع حبل في غابه <END>', '<START> صبي تحت شجره يحمل حبل <END>']"
6140,3535056297_e16f014cb7,"['<START> مجموعه من ناس اغلبيه رجال يشاهدون شيئا <END>', '<START> مجموعه من عده اشخاص يقفون حول سور <END>', '<START> ثلاثه شبان يرتدون بلوزات مقنعين يقفون علي مقعد <END>']"
1239,2216568822_84c295c3b0,"['<START> امراه ترتدي خوذه باللون وردي لديها وشم امريكي اصلي علي كتفها <END>', '<START> سيده لديها وشم <END>', '<START> شخص لديه وشم لسيده هنديه علي ذراعه <END>']"
2289,256439287_990ac4a761,"['<START> رجل يجلس علي كرسي متحرك بينما تدفعه امراه <END>', '<START> امراه تدفع رجلا علي كرسي متحرك في فناء اوروبي <END>', '<START> امراه تدفع رجل علي كرسي متحرك في خارج <END>']"
2740,2712974062_6d5b6aa7f0,"['<START> فتاه اسيويه ترتدي فستانا غنيا بالالوان تحمل كوبا بلاستيكيا <END>', '<START> امراه ترتدي فستانا متعدد الوان تحتجز كاسا بلاستيكيا بينما تشير بيد اخري <END>', '<START> تحمل مراه قدحا ولديها نظارات شمسيه علي راسها <END>']"
275,1306145560_1e37081b91,"['<START> كلب اسود يسبح في ماء <END>', '<START> كلب يسبح يحمل كره تنس في فمه <END>', '<START> كلب يسبح مع كره <END>']"
4585,3223302125_f8154417f4,"['<START> شخص يرتدي حله حمراء يقوم بقفزه تزلج <END>', '<START> متزلج علي ثلج يمسك بالهواء <END>', '<START> متزحلق في زي احمر عال في هواء <END>']"
1035,211295363_49010ca38d,"['<START> قارب ابيض يبحر بالقرب من خلفيه مدينه كبيره <END>', '<START> يخوت صغيره في ميناء مدينه خلفيه <END>', '<START> هناك قارب ابيض في خليج مع مدينه في خلفيه <END>']"
1229,2209496328_2a34fd201d,"['<START> كلب ابيض يسبح اثناء حمله لعبه برتقاليه في فمه <END>', '<START> كلب ابيض يسبح في ماء بينما يحمل جسما احمر في فمه <END>', '<START> كلب ابيض يسبح في ماء بلعبه حمراء <END>']"
1008,2101457132_69c950bc45,"['<START> كلب اسود يقفز في خور <END>', '<START> كلب اسود يقفز من ضفه نهر بالقرب من منطقه مشجره <END>', '<START> كلب اسود رطب يقفز في بحيره <END>']"
6589,3627011534_485f667b10,"['<START> طفل يرتدي عقال وردي وقميص ازرق يبتسم <END>', '<START> فتاه في قميص بنفسجي و عقال علي راسها <END>', '<START> فتاه شابه ترتدي عقال وردي وقميص لافندر تبتسم <END>']"
5178,3345025842_bc2082a509,"['<START> فتاه تقف علي حجر غرافيتي مغطي بشيء في فمها <END>', '<START> فتاه تقف علي لوح مرسوم من اسمنت و يلوي جسدها للبحث عن كاميرا <END>', '<START> فتاه في ستره علي اسمنت مع مصاصه في فمها و دراجه الي يمين <END>']"
3828,3047264346_e24601bfbf,"['<START> فتاه و رجل يرتدون ملابس <END>', '<START> رجل ذي يرتدي قناع و نظارات شمسيه يلف ذراعه حول مراه تي ترتدي اذانا مستديره مزوره <END>', '<START> شخصان يرتديان ملابس مثل حيوانات يقفان امام كاميرا <END>']"
2532,2647394564_4843800cff,"['<START> صبي صغير اشقر يقفز من سرير الي اخر <END>', '<START> طفل صغير اشقر يقفز من سرير الي اخر <END>', '<START> طفل صغير يقفز من سرير الي اخر <END>']"
4293,3164328039_2c56acf594,"['<START> كلبان يحاولان حصول علي كره صغيره <END>', '<START> كلبان يقفزان نحو كره <END>', '<START> يلعب كلبان ابيضان بكره برتقاليه علي عشب جاف <END>']"
1058,2125626631_a4b63af97e,"['<START> كلب يصطاد صحن طائر <END>', '<START> كلب يقفز ليمسك صحن طائرالاخضر و اسود <END>', '<START> كلب صغير يقفز جانبيه للقبض علي قرص لينه <END>']"
6011,3513265399_a32e8cfd18,"['<START> ينزلق طفل الي صحن منزل و ماسك ينتظر <END>', '<START> ينزلق لاعب الي منزل مع ماسك ذي يحرسه <END>', '<START> تنزلق امراه الي منزل بينما يحاول ماسك امساك بها <END>']"
281,1311388430_4ab0cd1a1f,"['<START> شخص معلق في هواء من خطوط كهرباء <END>', '<START> شخص معلق راسا علي عقب من خطوط كهرباء <END>', '<START> شخص معلق راسا علي عقب من قطبين <END>']"
1043,2116316160_d5fa7abdc3,"['<START> كلب اشقر ذو اذان مرنه يمتد باتجاه كاميرا <END>', '<START> كلب يجري نحو كاميرا <END>', '<START> يركض كلب نحو كاميرا في حقل <END>']"
1316,2249264723_d08655d9f2,"['<START> صبي يقفز علي وسائد ملونه زاهيه <END>', '<START> صبي صغير يقفز علي اريكه بنيه في ملابس رجل عنكبوت رمادي و ازرق <END>', '<START> طفل صغير يقفز علي اريكه <END>']"
968,2089442007_6fc798548c,"['<START> كلب بني يسير في ماء <END>', '<START> كلب بني ياخذ خطوات حذره في مياه هادئه <END>', '<START> كلب كبير ذو لون ذهبي يسير في ماء <END>']"
2381,2598012140_832863fcb9,"['<START> كلب يعض قطه وهي مستلقيه علي سرير <END>', '<START> كلب ابيض يعض قطه برتقاليه <END>', '<START> كلب ابيض يعض قطه برتقاليه <END>']"
6451,3596459539_a47aa80612,"['<START> رجل يتسابق بدراجته ناريه <END>', '<START> رجل علي دراجه ناريه يتسابق في مسار <END>', '<START> شخص يركب دراجه ناريه سباق بينما يشاهد ناس اخرين <END>']"
1939,2452238877_2340609c6e,"['<START> كلب يقفز من شرفه خشبيه <END>', '<START> كلب ذهبي يقفز من شرفه خشبيه <END>', '<START> كلب بني يقفز من سطح سفينه <END>']"
5816,3472449219_eb927f05b8,"['<START> يقود سائق دراجه ناريه في حفره موحله <END>', '<START> شخص اصفر ذي يركب دراجه ترابيه علي طريق ترابي <END>', '<START> شخص يركب دراجه ترابيه علي وحل <END>']"
1274,2229177914_3308fe7d20,"['<START> كلب بني يقفز فوق حاجز لهيب <END>', '<START> كلب يقفز فوق حاجز مضاء <END>', '<START> كلب اصفر يقفز فوق حاجز ملتهب <END>']"
619,1581822598_0ae23074f1,"['<START> كلب بني واسود يلعب في ثلج <END>', '<START> كلب يحاول اصطياد كره ثلج في فمه <END>', '<START> كلب يحاول اصطياد كره ثلج في ثلج <END>']"
7735,55470226_52ff517151,"['<START> يتوقف متسلق لتناول مشروب اثناء تسلق جبل مغطي بالثلج <END>', '<START> رجل يحمل فنجانا علي جبل ثلجي <END>', '<START> يتوقف متسلق جبال لتناول مشروب <END>']"
1742,2407470303_6fd5e3600d,"['<START> عائله تلعب علي شاطئ مع كلبها <END>', '<START> كلب اشعث يمتد امام ثلاثه اشخاص علي شاطئ <END>', '<START> كلب صغير ابيض واسود يركض علي شاطئ مع عده اشخاص في خلفيه <END>']"
1390,2272489996_95b0a62d15,"['<START> اثنين من كلاب تركض في حقل عشبي <END>', '<START> اثنين من كلاب تركض في منطقه عشبيه <END>', '<START> اثنين من كلاب بيضاء و سوداء تركض في عشب <END>']"
6582,3625519177_4c2bb9e7f0,"['<START> رجل يقفز في هواء بينما يطير في هواء <END>', '<START> رجل يقوم بعمل حيله مائيه <END>', '<START> متزلج يقفز عاليا في هواء ويؤدي خدعه <END>']"
1579,2341254813_c53a5ef27a,"['<START> صبي يقفز رافع ذراعيه في هواء في نهايه مسار بولينج <END>', '<START> يقفز صبي يرتدي قميصا اخضر لون امام ممر في صاله بولينغ <END>', '<START> طفل يقفز في هواء في ممر بولينغ <END>']"
1655,2371809188_b805497cba,"['<START> صبي يتسلق جدار صخور في اماكن مغلقه <END>', '<START> صبي يتسلق جدار صخري <END>', '<START> يتسلق صبي حائط تسلق صخور بينما يقف صبي كبير علي ارض <END>']"
3568,2976684095_ce7ccfd423,"['<START> صبي يفعل شقلبه في باحه منزله <END>', '<START> طفل يفعل شقلبه في فناء <END>', '<START> طفل يعرض عربه في فناء <END>']"
2352,2589241160_3832440850,"['<START> كلبان يركضان تجاه بعضهما بعض عبر رمال <END>', '<START> كلبان يركضان تجاه بعضهما بعض علي شاطئ <END>', '<START> يركض كلبان تجاه بعضهما بعض في منطقه مستنقعيه <END>']"
2212,2541901399_0a57f4cc76,"['<START> طفل صغير في قميص اخضر واصفر يتبعه امراه علي كرسي متحرك في ستره حمراء امام مقعد خشبي <END>', '<START> امراه في كرسي متحرك وطفل صغير في حديقه <END>', '<START> امراه في كرسي متحرك وستره برتقاليه تتبع صبيا صغيرا في حديقه <END>']"
8040,950411653_20d0335946,"['<START> صبي يقفز في بركه <END>', '<START> امراه ترمي صبي صغير في بركه <END>', '<START> امراه ترتدي ازرق ترمي طفلا صغيرا الي بركه <END>']"
3178,2867026654_38be983b44,"['<START> كلب بني علي وشك تقاط صحن طائر اخضر <END>', '<START> كلب يصطاد صحن طائر <END>', '<START> كلب يستعد للقبض علي صحن طائر <END>']"
3192,2869765795_21a398cb24,"['<START> كلب كبير يمشي في ماء <END>', '<START> كلب بني كبير يمشي في مياه ضحله <END>', '<START> كلب بني فاتح يمشي في ماء <END>']"
1307,224702241_05af393148,"['<START> يمشي كلب اشقر في خور مع ضفاف مليئه بالثلوج <END>', '<START> كلب يسير اسفل تيار بين اكوام ثلج <END>', '<START> كلب يمشي في ماء بارد <END>']"
575,1526181215_c1a94325ae,"['<START> كلب يقفز في ماء <END>', '<START> يقفز كلب علي ماء <END>', '<START> كلب صغير يقفز في ماء <END>']"
2360,2592711202_55f8c64495,"['<START> فتاه في ثوب ازرق تجلس علي ارض تاكل حلوي غزل بنات <END>', '<START> فتاه في ثوب ازرق تقلع حذاءها وتاكل حلوي غزل بنات زرقاء <END>', '<START> فتاه في ثوب ازرق اكل بعض حلوي قطن ازرق <END>']"
1280,223299137_b0e81ac145,"['<START> غروب جميل مع ثلاثه اشخاص في قارب علي بحيره <END>', '<START> ثلاثه اشخاص علي متن قارب في منتصف ماء بينما شمس في ظهر <END>', '<START> ثلاثه اشخاص في قارب يطفو علي ماء عند غروب شمس <END>']"
6576,3623331945_df0f51d7dd,"['<START> صبي يرتدي قبعه بيضاء يركض علي شاطئ <END>', '<START> طفل صغير يرتدي قبعه يمشي في رمال رطبه <END>', '<START> صبي صغير يرتدي قبعه يقف في رمال رطبه علي شاطئ <END>']"
4957,3298199743_d8dd8f94a0,"['<START> شخص يرتدي قميصا اخضر لون يقفز علي عشب قرب عده حشود من ناس <END>', '<START> شخص يرتدي قميصا اخضر يقفز عاليا فوق عشب <END>', '<START> صبي صغير في قميص اخضر يقفز <END>']"
6688,3644941648_012ec87848,"['<START> فتاه تقفز للغطس وهي في منطقه سكنيه <END>', '<START> شخص في ملابس سباحه يغوص قباله مبني <END>', '<START> شخص يغوص قباله مبني طويل <END>']"
5724,3454621502_73af6742fb,"['<START> كلب اسود يقفز من رمال <END>', '<START> كلب اسود يركض علي شاطئ بالقرب من شاطئ <END>', '<START> كلب اسود يركض علي شاطئ <END>']"
1993,246901891_4c4ea49c3a,"['<START> رجل في قميص اصفر يمشي امام شجره علي رصيف <END>', '<START> رجل يخطو علي رصيف <END>', '<START> رجل يرتدي قميصا اصفر لون ويحمل قهوه ويمشي علي رصيف <END>']"
2639,2684323357_c7a6d05d05,"['<START> فتاه مع صحيفه في مقهي <END>', '<START> امراه في قميص اسود تجلس علي قدميها في كرسي خشبي <END>', '<START> امراه تجلس علي كرسي وتبتسم امام كاميرا <END>']"
269,1303550623_cb43ac044a,"['<START> فتاه تقف حافيه علي مسارات سكه حديديه <END>', '<START> فتاه تقف في مسارات قطار <END>', '<START> فتاه تقف علي مسارات قطار <END>']"
629,160585932_fa6339f248,"['<START> سياره مغموره جزئيا في بحيره <END>', '<START> تسير سياره تويوتا في ماء <END>', '<START> تقود سياره دفع رباعي عبر نهر <END>']"
6000,3509575615_653cbf01fc,"['<START> هناك حشد يقف امام مبني يمسكون بالصحف و يحملون اعلام <END>', '<START> مجموعه من ناس يحملون اعلاما حمراء و نشرات امام مبني كبير <END>', '<START> مجموعه من ناس يقفون معا يحملون اوراق و اعلام <END>']"
3081,2842032768_9d9ce04385,"['<START> كلب اسود مع لعبه في فم <END>', '<START> كلب اسود واحد مع لعبه وكلب اصفر <END>', '<START> كلبان يلعبان مع لعبه حمراء <END>']"
3466,2939464283_fc1a834976,"['<START> لاعب كره قدم يرتدي قميصا بنيا يقفز للقبض علي كره قدم <END>', '<START> لاعب كره قدم يقفز للقبض علي كره بينما يركض اخرون نحوه <END>', '<START> لاعبو كره قدم يلعبون كره قدم <END>']"
7066,374124237_51f62b6937,"['<START> فتاه ترتدي ملابس سوداء تتظاهر امام كاميرا <END>', '<START> امراه ترتدي ملابس سوداء <END>', '<START> امراه في ملابس سوداء مع ساق واحده <END>']"
4396,3185409663_95f6b958d8,"['<START> صبي صغير يهرب من موجات محيط متقاربه <END>', '<START> فتاه صغيره تركض علي شاطئ رطب <END>', '<START> طفله تركض علي شاطئ <END>']"
4023,3100442775_6e2659b973,"['<START> متسابق يقوم بقفزه كبيره من علي حائط <END>', '<START> رجل يقفز بدراجه هوائيه <END>', '<START> شخص علي دراجه هوائيه <END>']"
7663,534056823_0752303702,"['<START> فتاه تظاهر بجانب تمثال كبير مع انف كبير <END>', '<START> امراه تاخذ صورتها امام نقش كبير <END>', '<START> امراه تستعد للحصول علي صور مع تمثال قزم <END>']"
5543,3421789737_f625dd17ed,"['<START> صبي يدور علي دوامه زرقاء و صفراء <END>', '<START> طفل صغير يقف علي دوامه <END>', '<START> يقف صبي علي معدات ملعب في مثلث ازرق <END>']"
5568,3425835357_204e620a66,"['<START> صبي يقوم علي وقوف علي يدين عليه قميص اصفر <END>', '<START> رجل يقف علي يديه علي رصيف بينما يراقب اخرون <END>', '<START> رجل يقف علي يديه مع كثير من ناس من حوله <END>']"
2046,2480832276_fa55480ecb,"['<START> شخص يتسلق صخره خلف شجره <END>', '<START> شخص يصعد صخره كبيره تحت شجره <END>', '<START> صبي في قميص احمر يتسلق صخره كبيره <END>']"
4356,3176278670_195eea071c,"['<START> لعبه رمي نبال لاخراج بالونات للحصول علي جوائز <END>', '<START> طفل صغير يحمل حيوانا محشوا في كشك العاب ملاهي يحتوي علي بالونات <END>', '<START> يجتمع ناس امام لعبه بالون <END>']"
6350,3576840040_9356b5b10a,"['<START> يتنقل سائق دراجه ترابيه عبر هواء باستخدام دراجته ناريه <END>', '<START> شخص في معدات خضراء خدعه في جو مع دراجه ناريه <END>', '<START> رجل يقوم بخدعه علي دراجه ناريه عاليه في هواء <END>']"
2113,2508313118_524e93d48c,"['<START> كلب بني يطارد صحن طائر <END>', '<START> يحاول كلب بني تقاط صحن طائر في فمه <END>', '<START> يحاول كلب بني تقاط صحن طائر <END>']"
27,103205630_682ca7285b,"['<START> يتم وضع خيمه علي جليد <END>', '<START> رجلان يقفان علي جليد يبحثان في شيء مغطي بقماش ازرق <END>', '<START> شخصان يقفان خارج هيكل خيمه زرقاء علي سطح ثلجي <END>']"
2040,2479652566_8f9fac8af5,"['<START> طفله صغيره تلعب مع صنبور <END>', '<START> فتاه صغيره ترتدي نظاره شمسيه تضع قدميها في حوض مطبخ <END>', '<START> فتاه شابه حافيه في نظارات حمراء تلعب في حوض <END>']"
3928,3079786914_fe598b0e54,"['<START> يلعب اطفال صغار داخل انبوب اصفر و ازرق صغير <END>', '<START> طفلان يجلسان داخل نفق ازرق و اصفر <END>', '<START> فتاتان تلعبان في نفق <END>']"
7311,444845904_a4531c811a,"['<START> رجل يتسلق جدار بحبل <END>', '<START> رجل يميل اثناء تسلق احد جبال مربوطه بحبل <END>', '<START> رجل يتسلق صخور <END>']"
3216,2876494009_9f96d7eaf2,"['<START> متزلج في جو علي منحدر <END>', '<START> متزلج يقفز من منزلق الي اخر <END>', '<START> ثلاثه اولاد صغار يتزلجون علي منحدر <END>']"
7535,502671104_b2114246c7,"['<START> فتاه في بدله سباحه خارجه من ماء <END>', '<START> فتاه صغيره في ثوب سباحه احمر في بركه <END>', '<START> فتاه صغيره في بركه ترتدي ملابس سباحه حمراء <END>']"
3814,3044536048_e615466e7f,"['<START> شخص يرتدي ستره خضراء يركب امواج و هو يمسك بخيط اثناء ذلك <END>', '<START> شخص يركب موجه خضراء <END>', '<START> شخص علي لوح ركوب امواج في امواج يمسك علي حبل <END>']"
129,1138784872_69ade3f2ab,"['<START> فتاه تلبس اخضر تسير في شارع مدينه <END>', '<START> طفل صغير يسير علي رصيف <END>', '<START> صبي صغير يسير امام بعض متاجر <END>']"
6004,3510695264_ef460fa6cc,"['<START> مجموعه من رجال يرتدون قبعات بيضاء داخل مبني صناعي مع واحد يلتقط صوره <END>', '<START> رجال و نساء في قبعات واحد ياخذ صوره <END>', '<START> ناس في قبعات صلبه يقفون في مكان في حين ان احدهم يقوم بالتقاط صور <END>']"
7937,805682444_90ed9e1ef3,"['<START> ينظر كلبان ابيض و اسود الي كره صفراء في رمال رطبه <END>', '<START> كلبان يتقاتلان علي كره في بركه <END>', '<START> اثنين من كلاب متطابقه تقريبا يحاولان اخراج كره من مياه موحله <END>']"
4599,3225310099_d8e419ba56,"['<START> يتم تعليق قارب محتوي علي اشخاص بواسطه كابل <END>', '<START> قارب معلق بواسطه كابل فوق ماء <END>', '<START> طوف معلق من حبل فوق محيط <END>']"
13,1019077836_6fc9b15408,"['<START> كلب بني علي عشب يطاردالماء <END>', '<START> كلب بني يلعب مع خرطوم <END>', '<START> كلب بني يركض في حديقه بالقرب من خرطوم ماء <END>']"
6936,3701544312_b2e4e9813d,"['<START> مجموعه من ناس يجرون حبلا <END>', '<START> ثلاثه اشخاص يسحبون حبلا علي احد تلال <END>', '<START> ثلاث نساء علي جانب واحد من شد حبل <END>']"
4476,3204525212_d548c7fca7,"['<START> كلب كبير و كلب صغير يقفان بجانب منضده مطبخ للتحقيق <END>', '<START> كلب صغير ابيض و اسود واقف بجانب كلب اسود كبير ينظران للاعلي الي طاوله <END>', '<START> كلاب تتجاهل صحن طعام علي ارض و تنظر الي طاوله مطبخ <END>']"
1525,2319087586_919472310f,"['<START> رجل يجلس علي اريكه بجانب و ساده ملونه مع قلم رصاص في يده <END>', '<START> رجل يجلس علي كرسي يفرك عينه <END>', '<START> يمسح رجل موشم عينه بينما يجلس علي كرسي في داخل <END>']"
2365,2594336381_a93772823b,"['<START> صبي صغير ذو وجه قذر يستلقي علي سجاده ملونه <END>', '<START> صبي صغير ذو وجه ملطخ يجلس علي بطانيه ملونه <END>', '<START> صبي صغير في قميص احمر وشورت رمادي مع وجه ملطخ <END>']"
4648,3239021459_a6b71bb400,"['<START> صبي يركب زلاجه من منحدر ثلجي <END>', '<START> طفل يتزحلق علي كومه من ثلج بينما يشاهده اخرون <END>', '<START> شاب يرفرف في هواء علي لوحه اخضر <END>']"
3052,2833431496_09d999db4d,"['<START> طفلان ينظران الي اسفل من خلال سياج <END>', '<START> طفلان ينظرون علي حافه صدئه <END>', '<START> طفلان يحاولان ضغط تحت بعض قضبان معدنيه <END>']"
4005,3096163135_584901a5ae,"['<START> صبي يرتدي قبعه لاظهار دعم لفريقه في احدي العاب <END>', '<START> طفل يرتدي قبعه حمراء علي شكل يد <END>', '<START> شخص يرتدي قبعه حمراء علي شكل ايادي يجلس في حشد من ناس <END>']"
2340,2586028627_ddd054d8cc,"['<START> صبي صغير يركب دراجه صفراء عبر ساحه بلده <END>', '<START> طفل صغير يلبس اصفر يركب دراجته صفراء في وسط مدينه <END>', '<START> صبي صغير يركب دراجه صفراء في ساحه مزدحمه قليلا <END>']"
374,1388970365_162edcceb4,"['<START> كلب اسمر و اثنين من كلاب سوداء في حقل عشبي ضخم <END>', '<START> ثلاث كلاب في حقل تبحث في شيء ما في عشب <END>', '<START> ثلاثه كلاب تلعب في حقل بالقرب من منزل علي يمين <END>']"
5903,3487820317_3728e7569e,"['<START> رجل يشرب عصير في يوم مشمس <END>', '<START> رجل يشرب عصير برتقال اثناء مشي <END>', '<START> رجل يشرب عصير برتقال بينما يمشي في يوم مشمس <END>']"
7054,373394550_1b2296b8c4,"['<START> طفل يرتدي قبعه سوداء ينام علي كرسيين <END>', '<START> طفل صغير يمتص ابهامه اثناء نوم ببطانيه زهريه علي مقعد متعدد الوان <END>', '<START> صبي صغير يرتدي قبعه زرقاء داكنه ينام علي مقعد في صاله <END>']"
939,2081141788_38fa84ce3c,"['<START> ثلاثه اطفال يقفزون في هواء في حمام سباحه في منتجع <END>', '<START> ثلاثه اطفال يقفزون في ماء تحت شجره نخيل <END>', '<START> ثلاثه اطفال يقفزون في بركه <END>']"
7738,556568556_bc5124dc8e,"['<START> فتي يرتدي قبعه بنيه وحذاء احمر علي ارجوحه في حديقه <END>', '<START> صبي ذو عيون مغلقه يرتدي قبعه علي ارجوحه <END>', '<START> فتاه صغيره تتارجح علي ارجوحه <END>']"
5718,3453313865_1ebff5393c,"['<START> رجل يركب لوح تزلج في طريق <END>', '<START> رجل يرتدي سراويل سوداء يتزلج في شارع <END>', '<START> رجل لا يرتدي قميصا يتزلج علي شارع <END>']"
4573,3221036999_3f7b152d8a,"['<START> رجل يقوم بقفزه علي لوح تزلج من اعلي منحدر <END>', '<START> متزلج في هواء في اعلي منحدر اسود و اصفر <END>', '<START> يقوم متزلج بعمل حيله علي منحدر مقلم باللونين اسود و اصفر <END>']"
2147,2521213787_ca9b5a1758,"['<START> تسير سياره زرقاء اسفل طريق ترابي <END>', '<START> سياره سباق زرقاء علي طريق وعره <END>', '<START> سياره سباق زرقاء تسير في طريق ضيق <END>']"
